x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,index,label
51,8,141388,9,0,10,5,1,1,0,0,55,3236,-1.0
40,1,100292,9,0,4,5,1,1,0,0,52,15270,1.0
50,1,194231,14,2,4,3,1,0,0,0,40,29245,1.0
29,5,82393,9,4,2,4,2,1,0,1590,45,29893,-1.0
27,1,29807,9,5,2,4,1,0,0,0,40,17478,-1.0
28,1,373698,8,0,12,5,1,1,0,0,45,6197,-1.0
24,1,215443,9,5,6,3,1,1,0,0,40,29597,-1.0
36,1,321760,13,4,8,3,1,0,0,0,17,19786,-1.0
49,1,50748,13,3,12,4,1,0,1506,0,35,18059,-1.0
61,8,36671,9,0,10,5,1,1,0,2352,50,2248,-1.0
31,3,256362,13,0,4,5,1,1,3908,0,50,8796,-1.0
54,1,175594,9,0,7,5,1,1,0,0,40,9219,-1.0
37,8,68899,9,0,7,5,1,1,0,2129,40,30202,-1.0
41,1,193626,9,6,7,4,1,0,0,0,40,26911,-1.0
39,3,116358,13,0,4,5,2,1,7688,0,40,20296,1.0
28,1,250135,9,4,12,1,1,0,0,0,40,3956,-1.0
37,1,167735,11,0,7,5,1,1,0,1887,40,31281,1.0
21,1,221955,5,4,2,1,1,1,0,0,40,32044,-1.0
39,1,33983,10,0,8,5,1,1,15024,0,40,25007,1.0
40,1,187164,9,0,3,5,1,1,0,1672,45,31203,-1.0
26,1,109097,9,2,8,4,1,0,0,0,48,13229,-1.0
25,1,374163,8,0,10,5,0,1,0,0,60,28979,-1.0
22,2,131230,10,4,5,2,1,1,0,0,40,24388,-1.0
51,1,194097,9,0,1,5,1,1,0,0,40,12630,-1.0
24,1,404416,10,4,2,3,1,1,0,0,40,2385,-1.0
37,1,127961,9,4,11,3,1,1,0,0,40,24161,-1.0
21,1,143604,10,4,4,2,1,0,0,0,8,20093,-1.0
63,8,122442,10,0,6,5,1,1,0,0,48,20466,-1.0
66,3,115880,10,0,12,5,1,1,0,0,40,5253,-1.0
50,2,87263,9,0,5,5,1,1,0,0,55,30882,1.0
20,1,190227,14,4,3,2,1,1,0,0,25,12924,-1.0
33,0,137184,12,2,3,4,1,1,0,0,50,10853,1.0
59,1,160631,13,0,7,5,1,1,0,0,60,11741,1.0
17,1,38611,7,4,8,2,1,0,0,0,23,686,-1.0
40,1,170230,13,6,6,3,1,0,0,0,40,30212,-1.0
78,2,91534,13,0,5,5,1,1,0,0,3,22875,-1.0
25,1,231016,14,4,12,3,1,0,4650,0,37,28497,-1.0
59,8,124771,13,0,10,5,1,1,0,0,30,18637,-1.0
23,1,526164,13,4,8,4,3,0,0,0,40,5854,-1.0
39,1,343403,9,0,4,0,1,0,0,0,36,19426,-1.0
53,1,81794,8,0,8,0,1,0,0,0,40,882,-1.0
53,1,47396,9,0,7,5,1,1,0,0,40,8161,-1.0
40,4,456110,7,2,0,4,1,0,0,0,52,21847,-1.0
39,2,361838,13,0,5,0,1,0,0,0,6,17888,1.0
71,2,193863,4,3,5,1,1,0,0,0,16,25002,-1.0
24,1,329530,5,0,4,5,1,1,0,0,45,28513,-1.0
20,1,262749,10,4,11,2,1,1,0,0,40,16962,-1.0
25,1,130793,10,2,6,3,1,1,0,0,30,14425,-1.0
20,1,193586,10,4,12,3,1,0,0,0,18,27514,-1.0
29,1,183523,6,4,6,2,1,1,0,0,40,23047,-1.0
37,1,179137,10,2,8,4,1,0,0,0,39,2515,-1.0
29,0,224858,10,0,1,5,1,1,0,0,60,22919,-1.0
45,8,40690,10,4,10,2,1,1,0,0,75,3084,-1.0
49,5,193960,14,0,12,5,1,1,0,1902,40,11919,1.0
25,1,169679,9,0,0,5,1,1,0,0,40,20363,-1.0
53,1,30244,12,0,3,5,1,1,15024,0,40,10085,1.0
25,1,352806,9,2,6,3,1,0,0,0,40,32469,-1.0
46,1,248059,9,0,7,5,1,1,3464,0,40,14373,-1.0
37,1,131827,9,4,7,4,1,1,0,0,40,21533,-1.0
22,1,89991,10,4,6,2,1,0,0,0,11,153,-1.0
38,5,200153,12,4,12,3,1,1,0,0,40,29380,-1.0
36,1,247321,9,0,7,5,1,1,0,0,45,16795,-1.0
41,1,213055,12,4,8,3,0,0,0,0,50,24318,-1.0
34,5,143766,10,4,1,2,1,1,0,0,40,8432,-1.0
24,1,249046,13,4,14,2,1,1,0,0,40,32251,-1.0
29,1,205249,14,0,3,5,2,1,0,0,40,19182,-1.0
30,1,260782,9,4,7,4,1,1,0,0,40,6442,-1.0
28,1,251905,15,4,12,3,1,1,0,2339,40,7740,-1.0
18,1,141918,9,4,2,2,1,1,0,0,22,28578,-1.0
38,1,220237,11,0,7,5,1,1,0,0,40,19436,1.0
58,1,570562,9,3,4,3,1,1,0,0,38,15597,-1.0
61,1,229744,3,0,7,5,1,1,0,0,40,19068,-1.0
44,1,62258,7,4,6,3,1,0,0,0,40,28443,-1.0
53,4,231472,16,0,12,5,1,1,0,0,40,25692,1.0
22,5,44064,7,4,2,2,1,1,0,0,35,11949,-1.0
41,1,242089,14,0,3,5,1,1,0,0,45,4680,-1.0
52,1,190762,2,0,11,5,1,1,0,0,40,30625,-1.0
34,1,33117,10,0,6,5,1,1,0,0,40,3745,-1.0
19,1,184121,9,4,6,2,1,1,0,0,20,7435,-1.0
47,5,165822,10,2,0,4,1,1,0,0,40,10042,-1.0
41,1,154194,9,4,4,2,1,0,0,0,40,32036,-1.0
34,1,115040,9,0,7,5,1,1,0,0,44,31851,-1.0
52,1,206862,9,0,7,5,1,1,0,0,40,18156,-1.0
24,1,438839,13,4,4,3,1,1,0,0,40,12060,-1.0
45,5,199590,10,0,7,5,1,1,0,1887,40,28084,1.0
61,1,97128,13,0,4,5,1,1,0,0,45,18854,1.0
36,1,187847,13,0,3,5,1,1,7688,0,40,23850,1.0
39,1,103456,13,0,8,5,1,1,0,0,45,17235,1.0
44,1,128354,14,2,3,4,1,0,0,0,40,24670,-1.0
39,1,347491,7,2,7,3,1,1,0,1876,46,23319,-1.0
50,8,198581,15,0,12,5,1,1,0,0,50,5130,1.0
23,1,173851,10,0,2,5,1,1,0,0,40,29000,-1.0
55,3,141807,13,0,4,5,1,1,0,0,60,20232,1.0
38,3,478829,15,0,12,5,1,1,99999,0,50,28441,1.0
24,1,249957,10,4,3,2,1,1,0,0,40,18847,-1.0
51,1,410114,14,0,7,5,1,1,0,0,40,6568,1.0
35,1,556902,9,2,6,3,3,1,0,0,40,23133,-1.0
48,1,93476,9,5,8,3,1,0,0,2001,40,20424,-1.0
43,1,211860,9,4,6,4,3,0,0,0,24,31123,-1.0
35,1,98389,7,0,10,5,1,1,0,0,40,8856,-1.0
29,1,351324,13,4,4,2,1,0,0,0,40,10763,-1.0
47,0,168191,10,0,7,5,1,1,0,0,40,7742,-1.0
30,1,95299,9,0,11,5,2,1,0,0,40,719,1.0
42,8,93099,10,0,12,2,1,0,0,0,25,7638,-1.0
42,0,108183,14,0,12,5,2,1,0,1902,40,3820,1.0
17,3,413557,5,4,4,2,1,0,0,0,40,10270,-1.0
69,3,107850,14,0,3,5,1,1,6514,0,40,14890,1.0
36,1,201769,7,4,1,3,3,1,13550,0,40,599,1.0
20,1,188612,10,4,8,2,1,0,0,0,38,30382,-1.0
31,1,51259,13,4,12,3,1,1,0,0,47,23860,-1.0
38,8,109133,14,0,3,5,1,1,0,0,70,9471,1.0
56,1,102106,9,0,2,5,1,1,0,0,40,5503,-1.0
49,8,189123,9,0,7,5,1,1,5013,0,50,9065,-1.0
37,1,340599,7,5,6,4,3,0,0,0,40,29691,-1.0
38,1,320305,4,0,8,5,1,1,0,0,40,13745,-1.0
54,1,104421,10,2,8,3,1,0,0,0,40,3887,-1.0
46,1,288608,9,4,7,2,1,1,0,0,40,24984,-1.0
22,1,167787,9,4,6,3,1,0,0,0,40,18728,-1.0
27,1,189777,9,0,7,5,1,1,0,0,40,17996,-1.0
33,1,160614,10,0,3,5,1,1,0,0,50,13293,-1.0
47,1,194698,9,0,0,5,1,1,0,0,50,20079,-1.0
60,1,145995,13,0,4,5,1,1,0,0,40,26309,1.0
46,1,271828,9,0,11,5,1,1,0,0,40,22532,1.0
25,1,198870,13,4,8,2,3,1,0,0,35,17589,-1.0
52,1,245275,6,0,6,0,1,0,0,0,35,7062,-1.0
46,1,224559,9,0,0,5,3,1,0,0,40,18797,-1.0
20,1,318036,9,4,6,3,1,1,0,0,40,15560,-1.0
34,3,62396,13,4,12,3,1,0,0,0,62,17372,1.0
47,1,111961,9,0,6,0,3,0,0,0,30,28523,-1.0
67,1,35015,14,4,12,3,1,1,0,0,99,29189,-1.0
35,1,165767,10,0,11,5,1,1,0,0,40,3302,-1.0
29,1,81057,10,4,8,2,1,0,0,0,40,30874,-1.0
22,1,117363,13,4,8,3,1,0,0,0,35,28213,-1.0
35,1,220098,9,0,6,0,1,0,0,0,40,1639,1.0
50,1,99307,9,0,7,5,1,1,5013,0,45,30816,-1.0
55,1,227856,13,0,3,5,1,1,7298,0,60,17664,1.0
36,1,269042,9,0,11,5,2,1,0,0,40,18492,-1.0
24,1,174907,9,4,6,2,1,0,0,0,30,8743,-1.0
51,1,171409,10,0,0,5,1,1,0,0,40,25997,1.0
29,1,261375,9,4,8,2,3,0,0,0,60,23982,-1.0
42,1,227466,9,4,6,1,3,1,0,0,40,21176,-1.0
23,1,287681,9,4,7,2,1,1,0,0,40,17055,-1.0
51,5,142411,11,2,8,4,1,0,0,0,50,14855,-1.0
60,1,185836,15,0,3,5,1,1,0,0,40,6755,1.0
22,1,254547,10,4,3,4,3,0,0,0,40,29210,-1.0
51,3,162327,7,2,4,3,1,1,0,0,40,13312,-1.0
42,1,212737,5,5,7,4,3,1,0,0,40,19849,-1.0
34,1,362787,9,4,11,4,3,0,0,0,40,23796,-1.0
30,1,144593,9,4,6,3,3,1,0,0,40,10079,-1.0
49,1,32212,9,0,3,0,1,0,0,0,43,24854,-1.0
38,2,129150,6,5,5,2,1,1,0,0,35,19429,-1.0
51,1,82783,9,0,7,5,1,1,0,0,40,17330,-1.0
71,0,149386,9,3,3,3,1,1,0,0,9,31992,-1.0
24,1,228424,9,4,2,1,3,1,0,0,40,2481,-1.0
31,1,50276,13,2,12,3,1,1,0,0,60,6705,-1.0
37,1,434097,12,2,7,3,3,1,0,0,40,29045,-1.0
61,8,168654,9,3,8,4,1,0,0,0,20,16292,-1.0
40,1,175674,13,0,4,5,1,1,0,0,50,29502,1.0
59,8,201263,13,0,4,5,1,1,15024,0,55,30409,1.0
18,1,214617,10,4,4,2,1,1,0,0,16,9006,-1.0
68,1,211162,9,0,3,5,1,1,0,0,40,15656,-1.0
82,8,240491,9,0,7,5,1,1,0,0,40,18048,-1.0
40,1,91959,13,0,12,5,1,1,0,0,46,12900,1.0
41,1,82161,9,0,0,5,1,1,0,0,40,4732,-1.0
32,1,240888,12,2,8,4,1,0,0,0,40,11971,-1.0
27,1,115831,10,0,6,5,1,1,0,0,40,1088,-1.0
28,8,190391,13,4,4,3,1,1,0,0,50,2664,-1.0
54,1,77336,9,0,4,5,1,1,0,0,40,10327,-1.0
37,1,171150,9,0,3,5,1,1,0,1887,50,26016,1.0
50,1,204518,4,2,7,3,1,1,0,0,40,26759,-1.0
39,1,225605,9,0,10,5,1,1,0,0,24,7182,-1.0
33,1,138667,9,0,8,5,1,1,0,0,50,13003,1.0
33,5,422718,9,0,6,5,1,1,0,0,40,18892,-1.0
24,1,109053,9,4,6,1,1,1,0,0,25,23167,-1.0
74,1,194312,5,3,7,3,1,1,0,0,10,6704,-1.0
50,1,104501,14,0,12,5,1,1,0,0,40,17103,1.0
35,1,953588,9,0,3,0,1,0,0,0,40,2254,1.0
46,1,189680,10,0,4,5,1,1,0,0,50,8923,1.0
31,1,96480,9,4,8,3,1,0,0,0,50,23137,-1.0
30,1,167476,10,0,0,5,1,1,0,0,60,2806,-1.0
20,1,171398,6,4,4,3,0,1,0,0,40,11665,-1.0
36,1,410489,13,2,12,3,1,1,0,0,45,918,-1.0
30,4,48214,14,0,12,0,1,0,0,0,50,21597,1.0
54,1,88019,10,2,0,3,1,1,0,0,55,15435,-1.0
31,1,193477,9,0,7,5,1,1,0,0,55,22518,-1.0
20,1,117767,10,4,2,2,1,1,0,0,40,5139,-1.0
49,8,102318,12,2,3,3,1,1,0,0,25,20895,-1.0
34,5,236415,10,4,8,4,1,0,0,0,18,27928,-1.0
55,1,158702,10,4,8,3,3,0,0,2339,45,25365,-1.0
65,4,29276,4,3,6,1,1,0,0,0,24,17766,-1.0
35,1,255702,9,4,6,2,1,0,0,0,27,13246,-1.0
51,5,277024,9,5,1,3,3,1,0,0,40,20691,-1.0
47,1,268022,9,0,0,5,1,1,0,0,55,6791,1.0
49,4,118567,10,0,10,5,1,1,0,0,40,5127,-1.0
55,8,126117,9,3,4,3,1,1,0,0,40,75,-1.0
43,1,182757,9,0,7,5,1,1,0,0,40,27447,1.0
25,1,182227,10,4,8,3,1,1,0,0,30,14593,-1.0
27,0,105189,9,2,8,3,1,1,4865,0,50,11192,-1.0
57,1,194850,10,0,6,5,0,1,0,0,40,3989,-1.0
18,1,266287,8,4,4,2,1,0,0,0,35,21930,-1.0
47,4,207120,11,0,3,5,1,1,0,0,38,17199,1.0
39,1,172538,9,4,11,4,1,1,0,0,40,4705,-1.0
59,1,43221,10,0,7,5,1,1,0,0,43,2798,1.0
34,1,213226,13,0,12,5,1,1,0,0,40,9745,1.0
28,8,188278,13,0,7,5,1,1,0,0,55,7256,-1.0
59,1,182460,9,0,3,5,1,1,0,0,30,6084,1.0
58,1,252419,7,0,0,5,1,1,0,0,50,19048,-1.0
32,8,180303,13,2,7,4,2,1,0,0,47,19770,-1.0
41,1,182108,14,4,12,3,1,0,27828,0,35,18328,1.0
38,1,278924,10,2,7,3,1,1,0,0,44,13640,-1.0
28,1,138692,13,0,12,5,1,1,0,1887,40,22652,1.0
36,8,280169,10,0,10,5,1,1,3456,0,8,11884,-1.0
32,1,388672,10,2,2,3,1,1,0,0,16,15158,-1.0
19,1,219300,10,4,4,2,1,0,0,0,25,1004,-1.0
22,1,88050,12,0,3,5,2,1,0,0,6,26498,-1.0
25,1,264012,13,0,8,5,1,1,0,0,45,12109,1.0
59,1,174864,9,0,7,5,1,1,0,1485,45,15945,1.0
49,1,169180,4,0,11,0,1,0,0,0,40,17696,-1.0
45,0,45891,10,2,8,4,1,1,0,0,42,4673,-1.0
66,5,362165,13,3,12,3,3,0,0,2206,25,24962,-1.0
40,1,155190,6,4,7,1,3,1,0,0,55,2741,-1.0
46,4,298786,10,4,6,2,3,0,0,0,40,17352,-1.0
37,8,58343,9,2,10,4,1,1,0,0,56,25855,-1.0
47,1,97176,10,2,3,4,1,0,0,0,40,14166,-1.0
28,5,356089,13,4,12,1,1,1,0,0,50,16126,-1.0
33,1,193285,13,0,12,5,1,1,0,0,38,28739,1.0
28,1,161674,9,4,11,4,1,0,0,0,40,31759,-1.0
22,1,234474,10,4,8,2,3,0,0,0,25,29741,-1.0
32,1,170154,12,5,3,4,1,0,25236,0,50,19753,1.0
20,1,234640,10,4,8,2,1,0,0,0,40,28502,-1.0
64,1,133144,9,0,0,5,1,1,0,0,16,7586,-1.0
28,1,294936,13,0,12,5,1,1,0,0,45,26048,-1.0
39,1,59313,8,6,0,3,3,1,0,0,45,6223,-1.0
48,1,70209,10,2,12,4,1,0,0,0,20,26253,-1.0
38,0,261241,10,0,8,5,1,1,0,0,45,1177,1.0
29,1,267989,9,0,7,5,1,1,0,0,45,7505,-1.0
20,1,190231,5,4,11,2,1,0,0,0,11,7782,-1.0
50,8,186565,13,0,4,5,1,1,0,0,50,31104,-1.0
62,4,162678,13,0,3,5,1,1,0,0,40,27735,-1.0
51,1,126010,9,0,7,5,1,1,0,0,40,29312,-1.0
26,1,53833,9,4,6,4,1,1,0,0,40,17454,-1.0
20,1,105244,10,4,2,3,1,1,0,0,50,11678,-1.0
60,8,135285,14,0,12,5,1,1,0,0,40,6823,-1.0
38,1,156728,13,0,8,5,1,1,0,0,56,23190,-1.0
39,1,189623,13,2,4,4,1,1,0,0,60,28439,-1.0
53,5,110510,9,0,3,0,1,0,0,0,50,10246,1.0
46,1,261059,14,0,12,5,1,1,0,1977,50,19448,1.0
21,1,265356,10,4,4,1,1,1,0,0,40,5609,-1.0
30,1,151989,11,0,14,0,1,0,0,0,40,2281,-1.0
36,1,137527,13,4,8,3,1,0,0,0,50,18257,-1.0
29,1,82242,15,4,12,4,1,1,27828,0,45,1769,1.0
42,1,424855,10,0,11,5,1,1,3908,0,40,25863,-1.0
39,1,272338,9,0,8,0,1,0,0,0,25,2696,-1.0
51,1,195105,9,2,9,2,1,0,0,0,40,11662,-1.0
46,1,170850,13,2,11,3,1,1,0,1590,40,4926,-1.0
31,1,210562,9,0,0,5,1,1,0,0,65,14522,-1.0
53,8,302847,9,0,4,5,1,1,0,0,35,15572,-1.0
70,1,642830,9,2,1,3,1,0,0,0,32,30910,-1.0
46,5,121124,13,0,1,5,1,1,15024,0,40,29206,1.0
27,5,209109,14,4,12,2,1,1,0,0,35,4531,-1.0
32,1,86723,9,4,6,3,1,1,0,0,52,8378,-1.0
23,1,334357,9,4,8,2,3,0,0,0,40,18208,-1.0
54,1,37237,13,0,12,5,1,1,0,0,40,22248,1.0
51,1,163921,13,0,0,5,1,1,0,0,56,25574,1.0
24,1,188300,7,4,11,4,1,0,0,0,40,9936,-1.0
23,1,263899,10,4,8,2,3,1,0,0,20,19146,-1.0
56,1,191917,12,2,8,4,1,0,4101,0,40,26163,-1.0
19,2,252752,9,4,5,2,3,1,0,0,35,19517,-1.0
26,1,213412,7,0,7,5,1,1,0,0,40,10848,-1.0
40,3,99185,13,0,12,5,1,1,0,0,60,21589,-1.0
58,8,35723,9,0,7,5,1,1,0,0,60,24351,-1.0
38,8,65716,11,2,6,4,1,0,0,0,40,30878,-1.0
22,8,197387,9,4,10,2,1,1,0,0,40,5346,-1.0
50,3,201689,4,0,7,5,1,1,0,1977,63,29063,1.0
32,1,273241,13,0,3,0,1,0,0,0,40,24350,1.0
46,3,214627,16,0,12,5,1,1,0,0,60,11115,1.0
54,3,166459,15,0,12,5,1,1,99999,0,60,5488,1.0
29,1,200468,6,4,12,3,1,1,0,0,40,11553,-1.0
24,1,464103,9,4,8,3,1,1,0,0,50,200,-1.0
46,8,277946,12,5,7,3,1,1,0,0,40,12178,-1.0
46,1,169042,6,4,6,3,1,0,0,0,25,9692,-1.0
38,8,342635,13,0,12,5,1,1,0,0,70,4398,-1.0
50,1,89041,9,0,7,5,1,1,15024,0,50,3358,1.0
61,2,226989,10,6,5,3,1,1,0,0,40,28314,-1.0
47,1,61885,13,0,12,5,1,1,15024,0,50,15510,1.0
30,2,104965,5,4,5,3,1,0,0,0,30,3624,-1.0
24,1,170070,13,4,14,3,1,0,0,0,20,4656,-1.0
27,1,224849,9,0,7,5,1,1,0,0,40,16453,-1.0
50,5,30682,14,0,12,5,1,1,0,0,50,21706,-1.0
28,1,188171,12,4,0,2,1,1,0,0,60,22262,-1.0
39,8,247975,10,4,7,3,2,1,0,0,30,11705,-1.0
25,1,204536,9,4,7,3,1,1,0,0,35,23833,-1.0
46,1,26781,9,0,7,5,4,1,0,0,40,30162,-1.0
32,2,199244,6,2,5,3,1,0,0,0,40,8964,-1.0
31,2,86143,9,0,5,5,2,1,0,0,40,26199,-1.0
37,1,67125,9,2,4,3,1,1,0,0,60,23004,-1.0
24,2,283731,13,4,5,2,1,1,0,0,40,16506,-1.0
26,1,44308,13,4,14,3,1,1,0,0,40,5042,-1.0
41,1,88368,9,4,4,3,1,0,0,0,50,15525,-1.0
61,8,352448,13,0,0,5,1,1,0,0,60,16566,-1.0
39,8,52187,9,0,3,5,1,1,0,0,40,20397,-1.0
30,1,177675,10,4,7,3,1,1,0,0,40,30715,1.0
25,1,131178,9,4,2,2,3,1,0,0,23,12288,-1.0
22,1,409230,8,4,0,1,1,1,0,0,40,572,-1.0
32,1,52537,10,4,14,3,3,1,0,0,38,6422,-1.0
30,1,179112,13,4,12,2,3,1,0,0,40,3438,-1.0
38,1,130813,9,2,11,1,1,0,0,0,40,22538,-1.0
50,3,160151,10,0,4,5,1,1,0,0,60,11373,1.0
40,2,273425,11,0,5,5,1,1,0,0,15,24150,-1.0
38,2,104094,10,0,5,5,1,1,0,0,15,31603,-1.0
35,1,217274,10,0,11,5,1,1,0,0,50,20872,-1.0
37,1,213841,10,0,7,5,1,1,0,0,50,28995,1.0
19,1,42069,9,4,0,2,1,1,2176,0,45,938,-1.0
17,1,226717,8,4,2,2,1,1,0,0,20,3459,-1.0
34,0,143766,12,4,8,3,1,1,0,0,40,27992,-1.0
36,4,112074,16,4,12,3,1,1,0,0,45,20705,-1.0
41,1,113491,10,0,12,5,1,1,0,0,40,26737,1.0
34,1,178841,13,0,3,0,1,0,0,0,40,22877,1.0
55,0,270859,13,0,12,5,1,1,0,0,40,14281,1.0
31,1,103435,13,0,4,5,1,1,0,0,50,7174,1.0
40,1,163342,9,4,8,3,1,0,0,0,70,4144,-1.0
36,1,183279,9,0,7,5,1,1,0,0,40,9483,-1.0
43,5,265698,13,0,12,0,1,0,0,0,45,18887,1.0
37,8,348960,12,0,0,5,1,1,0,0,50,28826,1.0
32,2,251612,3,4,5,4,1,0,0,0,45,19722,-1.0
39,1,240841,10,4,6,3,1,0,0,0,25,29634,-1.0
60,4,129447,9,3,8,3,1,0,0,0,35,9484,-1.0
71,1,187493,9,0,1,5,1,1,0,0,40,26932,1.0
42,8,308279,13,0,12,5,1,1,0,0,21,15746,-1.0
34,5,188245,9,4,12,4,3,0,0,0,35,4496,-1.0
68,0,422013,9,2,12,3,1,0,0,3683,40,262,-1.0
30,1,118056,10,6,3,4,1,0,0,0,45,6615,-1.0
22,1,288132,10,4,4,2,1,0,0,0,35,23233,-1.0
29,1,357781,4,0,10,5,1,1,0,0,40,28340,-1.0
20,1,189888,8,4,6,3,1,1,0,0,40,9245,-1.0
43,1,191814,12,0,4,5,1,1,7688,0,50,30855,1.0
40,1,218903,9,2,14,4,1,0,0,0,40,10064,-1.0
33,1,206051,9,0,7,5,1,1,0,0,40,29235,-1.0
62,1,200332,9,0,11,5,1,1,0,0,40,10701,-1.0
51,1,306790,9,2,7,3,1,1,0,0,40,10039,-1.0
20,1,320047,6,6,2,3,1,1,0,0,40,8278,-1.0
64,5,266080,9,2,8,3,1,0,0,0,35,31911,-1.0
27,1,113635,13,4,6,3,1,1,0,0,35,5897,-1.0
48,8,373606,10,2,4,4,1,1,0,0,65,11640,1.0
19,1,92863,9,4,4,2,1,1,0,0,20,22731,-1.0
44,1,150011,13,2,12,4,1,0,0,0,40,25306,-1.0
24,1,206671,11,0,7,5,1,1,0,0,40,23828,-1.0
33,5,281784,13,4,14,3,3,1,0,1564,52,16639,1.0
24,1,281356,2,4,10,3,0,1,0,0,66,23097,-1.0
36,1,100681,10,4,8,3,1,1,2463,0,40,10222,-1.0
35,1,162256,11,2,8,3,1,0,6849,0,40,24585,-1.0
36,1,135289,13,0,7,5,1,1,0,0,48,25231,1.0
20,1,447488,5,4,6,4,1,1,0,0,30,29199,-1.0
24,5,33432,12,0,6,0,1,0,0,0,40,14259,-1.0
24,1,145964,13,4,3,4,1,1,0,0,40,24641,1.0
57,1,353881,9,2,0,3,1,1,0,0,45,21823,-1.0
42,1,91836,6,0,7,5,1,1,0,0,40,12198,-1.0
33,1,112584,10,2,4,3,1,0,0,0,25,13294,-1.0
29,1,152461,13,4,12,4,1,0,14344,0,50,579,1.0
30,5,164493,10,4,8,2,1,0,0,0,10,13424,-1.0
23,5,287988,13,4,12,3,1,1,0,0,40,29300,-1.0
30,2,159303,13,0,5,0,1,0,0,0,4,10681,-1.0
46,3,284799,10,0,4,5,1,1,0,0,60,17699,-1.0
31,1,248178,10,0,6,5,3,1,0,0,35,7772,-1.0
30,1,26009,9,0,12,5,1,1,0,0,35,18862,1.0
32,0,44777,9,5,11,3,3,1,0,0,46,2886,-1.0
