index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,label
7842,2,3,3,1,6,2,1,0,10,0,6,2,3,7,7,0,2,2,5,7,3,0,-1
5253,3,2,9,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,4,3,1
1427,2,3,3,1,6,2,1,0,3,1,3,0,0,7,7,0,2,1,1,0,3,0,-1
1668,2,2,3,0,6,2,0,0,1,1,0,3,3,5,3,0,2,1,5,1,4,6,-1
7634,4,2,7,1,4,2,0,1,2,1,6,3,3,7,5,0,2,1,1,7,4,1,1
2773,2,2,0,0,6,2,0,0,8,1,0,3,3,3,3,0,2,1,5,0,4,6,-1
918,3,0,0,1,6,2,1,0,0,1,3,0,0,7,7,0,2,1,1,1,0,0,-1
2652,2,2,0,0,6,2,0,0,8,1,0,3,3,3,3,0,2,1,5,1,5,6,-1
452,0,3,9,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,5,0,2,2,-1
7118,4,2,7,1,3,2,0,1,2,1,6,2,3,7,7,0,2,1,1,7,4,3,1
7123,4,3,8,1,6,2,1,0,10,0,6,3,2,7,7,0,2,2,5,7,2,0,-1
6975,4,0,8,1,6,2,1,0,10,0,6,3,3,7,7,0,2,2,5,7,3,0,-1
4755,2,2,3,1,4,2,0,0,4,0,0,2,2,1,5,0,2,1,3,3,5,3,1
450,2,2,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,2,-1
2796,2,0,3,0,6,2,0,0,10,1,0,3,3,7,3,0,2,1,5,0,4,6,-1
8100,3,3,0,1,6,0,0,0,6,0,6,3,3,4,4,0,0,1,5,2,4,1,-1
5227,2,2,0,1,4,2,0,1,2,1,6,2,2,7,7,0,2,1,1,7,4,6,1
4405,3,0,9,1,4,2,0,0,3,0,0,2,2,1,0,0,2,1,3,3,5,6,1
2126,2,0,3,0,6,2,0,0,7,1,0,3,3,3,3,0,2,1,5,1,5,6,-1
282,5,0,0,1,6,2,0,1,7,0,3,3,3,7,7,0,2,1,5,1,4,4,-1
5016,3,2,9,1,4,2,0,0,7,0,0,2,2,5,1,0,2,1,3,3,5,6,1
2448,3,0,0,0,6,2,0,0,7,1,0,3,3,5,7,0,2,1,5,0,4,6,-1
6855,4,2,0,1,5,2,0,0,10,0,1,2,1,2,2,0,2,0,4,7,1,6,1
2815,2,0,7,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,1,4,6,-1
4130,2,2,9,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,4,0,1
4737,3,2,3,1,4,2,0,0,3,0,0,2,2,5,0,0,2,1,3,3,5,3,1
1949,2,0,3,1,6,2,1,0,7,1,3,3,3,7,7,0,2,1,1,1,0,0,-1
582,2,2,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,0,2,0,-1
4732,3,2,0,0,6,2,0,0,1,1,0,3,3,5,7,0,2,1,5,1,5,6,-1
2091,2,3,8,1,6,2,1,0,0,1,3,3,0,7,7,0,2,1,1,1,0,0,-1
1525,2,3,0,1,6,2,1,0,1,1,3,0,0,7,7,0,2,1,1,1,3,0,-1
4240,2,0,9,1,4,2,0,0,3,0,0,2,2,1,5,0,2,1,3,3,5,3,1
3635,2,0,3,1,4,2,0,0,4,0,0,2,2,0,1,0,2,1,3,3,4,6,1
4118,3,0,9,1,4,2,0,0,7,0,0,2,2,5,0,0,2,1,3,3,4,0,1
6319,2,2,7,1,3,2,0,1,2,1,6,3,3,5,7,0,2,1,1,7,4,1,1
3124,2,3,8,1,2,2,1,1,7,0,0,3,3,7,7,0,2,1,5,0,3,6,1
6149,3,3,0,1,8,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,3,1
4083,2,2,9,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,5,6,1
7792,4,2,0,1,8,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,3,1
2019,3,0,0,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,0,0,-1
5081,3,2,9,1,4,2,0,0,4,0,0,2,2,0,1,0,2,1,3,3,4,6,1
161,0,2,9,0,0,2,0,0,1,0,1,3,3,7,7,0,2,1,5,0,2,0,-1
1319,2,3,8,1,6,2,1,0,7,1,3,3,3,7,7,0,2,1,1,0,3,0,-1
457,0,3,9,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,0,3,2,-1
7401,1,2,9,1,6,2,1,1,11,0,1,1,1,8,8,0,3,1,1,7,1,1,1
6620,3,2,7,1,8,2,0,1,2,1,6,3,3,7,7,0,2,1,1,7,4,6,1
5994,2,2,7,1,3,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,1,1
6312,3,2,7,1,4,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,1,1
6609,2,2,7,1,4,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,1,1
1065,3,0,9,0,1,2,1,1,7,1,0,3,3,7,7,0,2,1,5,6,4,6,-1
3783,3,0,3,1,4,2,0,0,4,0,0,2,2,5,1,0,2,1,3,3,4,6,1
2793,3,0,0,0,6,2,0,0,10,1,0,3,3,7,3,0,2,1,5,0,5,6,-1
5133,2,2,0,1,3,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,6,1
6791,2,3,7,1,8,2,0,1,2,1,6,3,2,5,5,0,2,1,1,7,4,1,1
5198,2,0,9,1,4,2,0,0,3,0,0,2,2,5,1,0,2,1,3,3,4,3,1
3538,3,2,7,0,6,2,0,0,10,1,0,3,3,7,7,0,2,1,5,1,4,6,-1
2686,2,2,7,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,1,5,6,-1
2332,3,0,0,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,0,5,6,-1
7609,2,0,3,1,6,2,1,0,7,0,6,2,3,7,7,0,2,2,5,7,2,0,-1
7150,3,2,7,1,4,2,0,1,2,1,6,2,3,7,5,0,2,1,1,7,4,3,1
2207,2,0,0,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,0,5,6,-1
2012,2,0,7,0,6,2,0,0,8,1,0,3,3,3,7,0,2,1,5,0,4,6,-1
7277,4,2,7,1,3,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,1,1
5621,3,3,8,0,4,2,0,0,3,1,0,0,3,7,7,0,2,1,5,3,4,4,1
2578,2,0,3,0,6,2,0,0,7,1,0,3,3,3,3,0,2,1,5,0,5,6,-1
192,0,3,8,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,1,3,2,-1
2664,2,0,3,0,6,2,0,0,7,1,0,3,3,5,7,0,2,1,5,0,4,6,-1
1247,2,3,3,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,0,0,0,-1
6204,3,2,7,1,8,2,0,1,2,1,6,2,2,7,7,0,2,1,1,7,4,3,1
4518,2,2,3,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,4,6,1
398,2,0,3,1,6,2,0,1,1,0,3,3,3,7,7,0,2,1,5,0,4,4,-1
7056,4,3,0,1,3,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,3,1
1224,3,3,0,1,6,2,1,0,7,1,3,0,3,7,7,0,2,1,1,0,0,0,-1
962,2,0,0,0,6,2,0,0,1,1,0,3,3,3,5,0,2,1,5,0,4,6,-1
6358,2,3,0,1,3,2,0,1,2,1,6,3,3,5,7,0,2,1,1,7,4,3,1
5752,0,3,5,0,6,2,0,0,5,0,0,3,3,7,7,0,2,2,5,4,4,0,1
7348,4,3,7,1,3,2,0,1,2,1,6,2,2,5,5,0,2,1,1,7,4,1,1
2224,3,0,0,0,6,2,0,0,10,1,0,3,3,5,3,0,2,1,5,1,5,6,-1
6857,3,3,7,1,8,2,0,1,2,1,6,2,2,7,7,0,2,1,1,7,4,1,1
3355,3,2,3,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,0,4,6,-1
1206,3,0,0,1,6,2,1,0,3,1,3,3,3,7,7,0,2,1,1,0,0,0,-1
7584,0,0,8,1,6,2,1,0,4,0,6,2,3,7,7,0,2,2,5,7,3,0,-1
923,2,3,9,0,1,2,1,1,10,1,0,3,3,7,7,0,2,1,5,6,4,6,-1
6395,3,3,0,1,4,2,0,1,2,1,6,3,3,7,7,0,2,1,1,7,4,3,1
5087,4,0,2,1,6,2,1,1,10,0,0,0,3,7,0,0,2,1,1,7,4,1,-1
849,2,3,8,0,1,2,1,1,10,1,0,3,3,7,7,0,2,1,5,6,4,6,-1
7088,4,3,7,1,8,2,0,1,2,1,6,3,2,5,7,0,2,1,1,7,4,1,1
8055,0,0,3,1,6,2,1,0,10,0,6,2,3,7,7,0,2,2,5,7,2,0,-1
1019,2,0,0,0,6,2,0,0,1,1,0,3,3,7,5,0,2,1,5,0,4,6,-1
4255,2,2,3,1,4,2,0,0,3,0,0,2,2,5,0,0,2,1,3,3,5,3,1
3826,2,0,8,1,2,2,0,1,1,0,0,3,3,7,7,0,2,1,5,0,4,6,1
4957,3,0,9,1,4,2,0,0,7,0,0,2,2,0,0,0,2,1,3,3,4,6,1
3723,2,2,0,0,6,2,0,0,10,1,0,3,3,3,7,0,2,1,5,0,4,6,-1
190,2,0,8,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,0,3,0,-1
4167,3,0,3,1,4,2,0,0,7,0,0,2,2,0,5,0,2,1,3,3,5,0,1
4231,2,2,9,1,4,2,0,0,7,0,0,2,2,5,5,0,2,1,3,3,5,3,1
4660,3,2,3,1,4,2,0,0,4,0,0,2,2,0,5,0,2,1,3,3,4,0,1
7301,4,3,3,1,6,2,1,0,7,0,6,2,3,7,7,0,2,2,5,7,2,0,-1
1031,2,2,0,0,7,2,0,1,1,0,3,3,3,7,7,0,2,1,5,0,4,0,1
249,2,3,0,1,6,2,1,0,7,1,3,0,3,7,7,0,2,1,1,0,3,0,-1
3081,3,2,7,0,6,2,0,0,7,1,0,3,3,5,3,0,2,1,5,1,5,6,-1
3852,2,3,5,1,2,2,0,1,7,0,0,3,3,7,7,0,2,1,5,0,3,6,1
368,0,2,9,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,5,1,2,0,-1
189,2,2,0,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,5,1,5,3,-1
3480,3,2,3,0,6,2,0,0,8,1,0,3,3,5,5,0,2,1,5,0,4,6,-1
7449,4,2,0,1,6,2,0,0,10,0,0,1,1,0,0,0,2,2,5,7,5,3,-1
7272,4,2,7,1,8,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,6,1
3093,2,0,3,1,4,2,0,0,7,0,0,2,2,0,1,0,2,1,3,3,4,0,1
2655,3,0,0,0,6,2,0,0,10,1,0,3,3,7,7,0,2,1,5,0,4,6,-1
4367,3,2,3,1,4,2,0,0,4,0,0,2,2,1,1,0,2,1,3,3,5,6,1
1826,2,2,7,0,6,2,0,0,1,1,0,3,3,7,3,0,2,1,5,1,4,6,-1
1887,3,2,8,0,7,2,0,1,1,0,3,3,3,7,7,0,2,1,5,0,3,0,1
6014,3,3,7,1,3,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,1,1
6373,3,3,0,1,4,2,0,1,2,1,6,3,2,5,5,0,2,1,1,7,4,6,1
6323,3,2,0,1,8,2,0,1,2,1,6,2,3,5,7,0,2,1,1,7,4,3,1
5365,2,2,0,1,3,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,1,1
587,3,0,0,1,6,2,0,1,1,0,3,3,3,7,7,0,2,1,5,0,5,4,-1
3991,2,2,3,1,4,2,0,0,3,0,0,2,2,5,5,0,2,1,3,3,4,6,1
3223,3,2,0,0,6,2,0,0,10,1,0,3,3,3,7,0,2,1,5,0,5,6,-1
4630,3,0,7,0,6,2,0,0,10,1,0,3,3,3,7,0,2,1,5,0,4,6,-1
5767,2,2,8,1,6,2,0,1,8,0,6,3,0,7,7,0,2,1,2,3,4,6,-1
2188,2,0,3,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,0,4,6,-1
2717,3,0,7,0,6,2,0,0,10,1,0,3,3,3,5,0,2,1,5,1,4,6,-1
6720,3,3,7,1,8,2,0,1,2,1,6,3,2,7,7,0,2,1,1,7,4,6,1
4126,2,2,9,1,4,2,0,0,3,0,0,2,2,1,5,0,2,1,3,3,4,3,1
7024,2,3,0,1,3,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,3,1
5625,2,0,9,1,4,2,0,0,3,0,0,2,2,5,1,0,2,1,3,3,5,0,1
2623,3,0,0,0,6,2,0,0,8,1,0,3,3,5,3,0,2,1,5,0,5,6,-1
5519,2,2,0,1,8,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,1,1
2447,3,0,0,0,6,2,0,0,7,1,0,3,3,7,7,0,2,1,5,1,5,6,-1
2200,2,3,8,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,0,0,-1
7491,4,2,0,1,8,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,6,1
3099,3,0,7,0,6,2,0,0,8,1,0,3,3,3,3,0,2,1,5,1,5,6,-1
2782,2,0,3,0,6,2,0,0,8,1,0,3,3,3,7,0,2,1,5,0,5,6,-1
5968,3,0,3,1,4,2,0,0,7,0,0,2,2,1,5,0,2,1,3,3,4,6,1
6418,2,3,7,1,8,2,0,1,2,1,6,2,2,5,7,0,2,1,1,7,4,3,1
6740,2,2,7,1,4,2,0,1,2,1,6,3,3,5,5,0,2,1,1,7,4,1,1
3740,2,2,0,0,6,2,0,0,8,1,0,3,3,7,3,0,2,1,5,1,5,6,-1
6497,3,3,7,1,4,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,6,1
7966,0,3,8,1,6,2,1,0,7,0,6,3,2,7,7,0,2,2,5,7,2,0,-1
4625,3,2,3,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,4,6,1
6783,3,3,0,1,3,2,0,1,2,1,6,3,3,5,7,0,2,1,1,7,4,3,1
1622,3,3,0,1,6,2,1,0,7,1,3,3,0,7,7,0,2,1,1,1,3,0,-1
584,3,2,9,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,5,0,3,0,-1
7799,4,2,7,1,8,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,6,1
476,2,0,0,1,6,2,0,1,7,0,3,3,3,7,7,0,2,1,5,1,5,4,-1
3875,2,0,3,0,6,2,0,0,10,1,0,3,3,5,3,0,2,1,5,0,4,6,-1
7485,3,2,7,1,5,0,0,0,11,0,1,2,1,2,2,0,2,0,4,7,1,6,1
992,2,3,0,1,6,2,1,0,7,1,3,0,3,7,7,0,2,1,1,1,3,0,-1
3269,3,0,3,1,4,2,0,0,4,0,0,2,2,0,0,0,2,1,3,3,4,6,1
5166,4,2,7,0,6,2,0,0,10,0,6,3,3,6,6,0,2,2,1,7,1,5,-1
3663,2,3,8,1,2,2,0,1,4,0,0,3,3,7,7,0,2,1,5,1,4,6,1
7876,4,3,0,1,3,2,0,1,2,1,6,2,3,5,7,0,2,1,1,7,4,6,1
59,2,2,0,0,0,2,0,0,7,0,5,3,1,7,7,0,2,1,5,0,5,3,-1
4962,3,2,9,1,4,2,0,0,3,0,0,2,2,5,5,0,2,1,3,3,5,6,1
3907,2,0,9,1,4,2,0,0,3,0,0,2,2,0,0,0,2,1,3,3,4,3,1
342,2,3,9,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,5,0,3,2,-1
69,2,0,3,1,6,2,0,1,7,0,3,3,3,7,7,0,2,1,5,1,4,4,-1
6453,3,2,0,1,8,2,0,1,2,1,6,2,2,5,5,0,2,1,1,7,4,3,1
2890,2,0,0,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,0,0,0,-1
780,2,2,9,0,0,2,0,0,10,0,1,3,3,7,7,0,2,1,5,0,3,2,-1
624,3,0,3,1,6,2,0,1,7,0,3,3,3,7,7,0,2,1,5,0,5,4,-1
265,3,0,3,1,6,2,0,1,4,0,3,3,3,7,7,0,2,1,5,0,4,4,-1
1772,2,0,8,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,0,0,0,-1
3152,2,0,3,1,4,2,0,0,3,0,0,2,2,0,5,0,2,1,3,3,5,6,1
2450,3,0,3,0,6,2,0,0,7,1,0,3,3,5,7,0,2,1,5,1,5,6,-1
5861,2,3,7,0,6,2,0,0,9,0,6,3,3,6,6,0,2,2,1,7,1,5,-1
1341,3,0,0,1,6,2,1,0,3,1,3,0,3,7,7,0,2,1,1,1,0,0,-1
3637,3,0,3,0,6,2,0,0,8,1,0,3,3,5,7,0,2,1,5,1,5,6,-1
3059,3,2,7,0,6,2,0,0,8,1,0,3,3,3,3,0,2,1,5,0,5,6,-1
2951,2,2,0,0,6,2,0,0,7,1,0,3,3,5,3,0,2,1,5,1,4,6,-1
716,0,3,8,0,1,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,2,-1
2902,2,0,3,0,6,2,0,0,1,1,0,3,3,5,7,0,2,1,5,1,4,6,-1
4721,2,0,9,1,4,2,0,0,4,0,0,2,2,5,5,0,2,1,3,3,4,0,1
2000,2,0,0,0,6,2,0,0,10,1,0,3,3,3,3,0,2,1,5,1,4,6,-1
1036,2,2,9,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,0,3,2,-1
1163,2,2,9,0,0,2,0,0,7,0,5,3,1,7,7,0,2,1,5,0,3,3,-1
1848,3,0,3,0,6,2,0,0,7,1,0,3,3,5,7,0,2,1,5,0,4,6,-1
2166,2,2,7,0,6,2,0,0,10,1,0,3,3,5,7,0,2,1,5,1,5,6,-1
5169,2,2,0,0,6,2,0,0,9,0,6,3,3,6,7,0,2,2,1,7,1,5,-1
8101,4,3,7,1,8,2,0,1,2,1,6,3,3,5,7,0,2,1,1,7,4,3,1
3895,3,0,3,1,4,2,0,0,7,0,0,2,2,0,5,0,2,1,3,3,5,3,1
1511,3,3,3,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,0,3,0,-1
2014,2,0,8,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,1,3,0,-1
4183,3,0,3,0,6,2,0,0,10,1,0,3,3,7,7,0,2,1,5,0,5,6,-1
6413,3,3,7,1,8,2,0,1,2,1,6,3,2,5,5,0,2,1,1,7,4,1,1
3365,2,0,5,1,2,2,1,1,4,0,0,3,3,7,7,0,2,1,5,1,3,6,1
575,2,3,9,0,1,2,0,0,10,0,1,3,3,7,7,0,2,1,5,1,3,0,-1
3305,3,2,7,0,6,2,0,0,1,1,0,3,3,3,5,0,2,1,5,1,4,6,-1
4,2,3,3,1,6,2,1,0,0,1,3,3,3,7,7,0,2,1,1,1,0,0,-1
6249,3,2,0,1,3,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,3,1
3545,3,2,7,0,6,2,0,0,7,1,0,3,3,5,7,0,2,1,5,0,4,6,-1
4786,3,2,3,1,4,2,0,0,3,0,0,2,2,0,5,0,2,1,3,3,4,0,1
5607,3,2,9,1,4,2,0,0,4,0,0,2,2,0,0,0,2,1,3,3,4,0,1
3864,2,0,3,1,4,2,0,0,7,0,0,2,2,0,5,0,2,1,3,3,4,6,1
5609,3,3,3,0,4,2,0,0,7,1,0,0,3,7,7,0,2,1,5,3,4,0,1
4095,2,0,7,0,6,2,0,0,10,1,0,3,3,5,5,0,2,1,5,0,4,6,-1
6372,3,2,0,1,4,2,0,1,2,1,6,3,3,7,7,0,2,1,1,7,4,1,1
2484,2,0,7,0,6,2,0,0,7,1,0,3,3,7,3,0,2,1,5,0,4,6,-1
6411,2,3,0,1,4,2,0,1,2,1,6,2,2,5,5,0,2,1,1,7,4,6,1
5466,4,2,0,0,6,2,0,0,9,0,6,3,3,7,6,0,2,2,1,7,1,5,-1
1450,3,0,0,1,6,2,1,0,3,1,3,0,3,7,7,0,2,1,1,0,0,0,-1
4214,2,0,9,1,4,2,0,0,4,0,0,2,2,1,5,0,2,1,3,3,5,0,1
1528,2,2,9,0,0,2,0,0,4,0,1,3,3,7,7,0,2,1,5,0,2,2,-1
352,0,2,8,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,3,0,-1
5139,2,2,3,1,4,2,0,0,7,0,0,2,2,5,0,0,2,1,3,3,5,0,1
3931,3,0,9,1,4,2,0,0,4,0,0,2,2,5,5,0,2,1,3,3,4,0,1
7708,4,2,7,1,4,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,6,1
3657,3,0,7,0,6,2,0,0,1,1,0,3,3,5,5,0,2,1,5,1,4,6,-1
5376,0,2,5,0,6,2,0,0,5,0,0,3,3,7,7,0,2,2,5,4,4,2,1
743,0,2,8,0,0,2,0,0,0,0,1,3,3,7,7,0,2,1,5,1,2,2,-1
6868,3,2,0,1,4,2,0,1,2,1,6,2,3,5,5,0,2,1,1,7,4,3,1
8048,4,3,0,1,3,2,0,1,2,1,6,3,2,7,5,0,2,1,1,7,4,6,1
3714,3,2,7,0,6,2,0,0,1,1,0,3,3,7,7,0,2,1,5,0,5,6,-1
546,0,2,9,0,1,2,0,0,4,0,1,3,3,7,7,0,2,1,5,1,3,2,-1
4658,2,2,9,1,4,2,0,0,4,0,0,2,2,1,0,0,2,1,3,3,4,3,1
3351,2,3,3,1,2,2,1,1,4,0,0,3,3,7,7,0,2,1,5,1,3,6,1
1192,2,0,7,0,6,2,0,0,7,1,0,3,3,3,5,0,2,1,5,1,4,6,-1
2325,2,0,0,0,6,2,0,0,8,1,0,3,3,5,5,0,2,1,5,0,4,6,-1
96,3,2,0,0,1,2,0,0,7,0,5,3,1,7,7,0,2,1,5,1,3,0,-1
4407,3,0,3,1,4,2,0,0,4,0,0,2,2,5,0,0,2,1,3,3,4,3,1
5841,2,2,9,1,4,2,0,0,4,0,0,2,2,5,1,0,2,1,3,3,4,6,1
1749,3,3,8,1,6,2,1,0,1,1,3,3,0,7,7,0,2,1,1,1,3,0,-1
6300,3,3,7,1,8,2,0,1,2,1,6,3,3,7,5,0,2,1,1,7,4,6,1
1248,3,0,3,1,6,2,1,0,1,1,3,0,3,7,7,0,2,1,1,0,0,0,-1
4041,3,2,0,0,6,2,0,0,8,1,0,3,3,7,5,0,2,1,5,1,5,6,-1
4482,2,2,3,1,4,2,0,0,4,0,0,2,2,0,0,0,2,1,3,3,4,3,1
5176,3,3,5,0,6,2,0,0,9,0,6,3,3,6,6,0,2,2,1,7,1,5,-1
5629,3,3,1,0,4,2,0,0,7,1,0,0,3,7,7,0,2,1,5,3,4,0,1
3996,2,3,3,0,4,2,0,0,3,1,0,3,3,7,7,0,2,1,5,3,3,0,1
643,3,2,0,0,0,2,0,0,10,0,5,3,1,7,7,0,2,1,5,0,5,0,-1
2884,3,0,7,0,6,2,0,0,8,1,0,3,3,5,5,0,2,1,5,0,4,6,-1
6487,3,2,0,1,4,2,0,1,2,1,6,2,2,7,5,0,2,1,1,7,4,6,1
2301,2,2,0,0,6,2,0,0,8,1,0,3,3,3,5,0,2,1,5,0,4,6,-1
7586,0,3,3,1,6,2,1,0,10,0,6,2,3,7,7,0,2,2,5,7,3,0,-1
